Z,A,Mass_Excess_MeV
73,182,-46.430685
74,182,-48.246144
75,182,-45.446144
76,182,-44.609109
77,182,-39.051682
78,182,-36.168420
79,182,-28.303976
80,182,-23.576885
81,182,-13.327213
82,182,-6.824556
70,183,-35.000000
71,183,-39.716114
72,183,-43.283547
73,183,-45.293547
74,183,-46.365663
75,183,-45.809663
76,183,-43.663760
77,183,-40.202138
78,183,-35.773197
79,183,-30.191488
80,183,-23.804655
81,183,-16.587261
82,183,-7.580008
70,184,-32.600000
71,184,-36.300000
72,184,-41.499453
73,184,-42.839453
74,184,-45.705453
75,184,-44.219819
76,184,-44.252565
77,184,-39.610855
78,184,-37.332486
79,184,-30.318714
80,184,-26.344787
81,184,-16.883355
82,184,-11.051586
83,184,1.254000
70,185,-28.480000
71,185,-33.960000
72,185,-38.319804
73,185,-41.394371
74,185,-43.387871
75,185,-43.819047
76,185,-42.805908
77,185,-40.335558
78,185,-36.688144
79,185,-31.858150
80,185,-26.183651
81,185,-19.757745
82,185,-11.541211
83,185,-2.236000
71,186,-30.320000
72,186,-36.424214
73,186,-38.607602
74,186,-42.508602
75,186,-41.927320
76,186,-43.000032
77,186,-39.172350
78,186,-37.864447
79,186,-31.714856
80,186,-28.539059
81,186,-19.882940
82,186,-14.680897
83,186,-3.145497
84,186,4.101531
71,187,-27.770000
72,187,-33.000000
73,187,-36.895550
74,187,-39.904044
75,187,-41.216548
76,187,-41.219015
77,187,-39.549377
78,187,-36.685361
79,187,-33.028780
80,187,-28.118509
81,187,-22.444592
82,187,-14.986955
83,187,-6.383275
84,187,2.823808
71,188,-23.820000
72,188,-30.830000
73,188,-33.910000
74,188,-38.667880
75,188,-39.016880
76,188,-41.137301
77,188,-38.344955
78,188,-37.820970
79,188,-32.371315
80,188,-30.198351
81,188,-22.336403
82,188,-17.811024
83,188,-7.194800
84,188,-0.544378
72,189,-27.150000
73,189,-31.960000
74,189,-35.809000
75,189,-37.979097
76,189,-38.986802
77,189,-38.449652
78,189,-36.469405
79,189,-33.581958
80,189,-29.626378
81,189,-24.616105
82,189,-17.844019
83,189,-10.064664
84,189,-1.421996
72,190,-24.800000
73,190,-28.720000
74,190,-34.368832
75,190,-35.583015
76,190,-38.707825
77,190,-36.753614
78,190,-37.306504
79,190,-32.833540
80,190,-31.370625
81,190,-24.366236
82,190,-20.416607
83,190,-10.595906
84,190,-4.562708
73,191,-26.520000
74,191,-31.176176
75,191,-34.350408
76,191,-36.395239
77,191,-36.708826
78,191,-35.698336
79,191,-33.797910
80,191,-30.591849
81,191,-26.282951
82,191,-20.291243
83,191,-13.239351
84,191,-5.068731
85,191,3.863913
73,192,-23.100000
74,192,-29.620000
75,192,-31.588828
76,192,-35.882303
77,192,-34.835631
78,192,-36.288525
79,192,-32.772184
80,192,-32.011481
81,192,-25.872249
82,192,-22.551846
83,192,-13.534537
84,192,-8.066483
85,192,2.925742
73,193,-20.810000
74,193,-26.190000
75,193,-30.231641
76,193,-33.394401
77,193,-34.536305
78,193,-34.479677
79,193,-33.404829
80,193,-31.062165
81,193,-27.477218
82,193,-22.229255
83,193,-15.884563
84,193,-8.325302
85,193,-0.067323
86,193,9.042920
73,194,-17.130000
74,194,-24.410000
75,194,-27.260000
76,194,-32.435176
77,194,-32.531776
78,194,-34.760101
79,194,-32.211950
80,194,-32.183952
81,194,-26.937498
82,194,-24.207866
83,194,-16.023020
84,194,-11.004617
85,194,-0.716490
86,194,5.724624
74,195,-20.740000
75,195,-25.560000
76,195,-29.511596
77,195,-31.692318
78,195,-32.793878
79,195,-32.567061
80,195,-31.013342
81,195,-28.155292
82,195,-23.738039
83,195,-18.025567
84,195,-11.116655
85,195,-3.470299
86,195,5.050285
74,196,-18.740000
75,196,-22.360000
76,196,-28.277123
77,196,-29.435522
78,196,-32.644538
79,196,-31.138718
80,196,-31.825944
81,196,-27.496598
82,196,-25.348234
83,196,-18.009032
84,196,-13.468731
85,196,-3.913175
86,196,1.975169
74,197,-14.870000
75,197,-20.350000
76,197,-25.080000
77,197,-28.264123
78,197,-30.419775
79,197,-31.139751
80,197,-30.540231
81,197,-28.354222
82,197,-24.745385
83,197,-19.687196
84,197,-13.393078
85,197,-6.355255
86,197,1.510368
87,197,10.253968
75,198,-16.990000
76,198,-23.600000
77,198,-25.710000
78,198,-29.904018
79,198,-29.580793
80,198,-30.954315
81,198,-27.528753
82,198,-26.067443
83,198,-19.373851
84,198,-15.473278
85,198,-6.708747
86,198,-1.230320
87,198,9.577698
75,199,-14.730000
76,199,-20.270000
77,199,-24.398534
78,199,-27.388700
79,199,-29.093752
80,199,-29.546066
81,199,-28.059397
82,199,-25.231734
83,199,-20.797616
84,199,-15.238829
85,199,-8.823377
86,199,-1.559846
87,199,6.771388
76,200,-18.550000
77,200,-21.570000
78,200,-26.599178
79,200,-27.240094
80,200,-29.503267
81,200,-27.047227
82,200,-26.250858
83,200,-20.370574
84,200,-16.941683
85,200,-8.987894
86,200,-4.000454
87,200,6.133578
76,201,-14.840000
77,201,-19.840000
78,201,-23.740705
79,201,-26.400705
80,201,-27.662529
81,201,-27.180778
82,201,-25.271033
83,201,-21.429006
84,201,-16.521166
85,201,-10.789441
86,201,-4.107413
87,201,3.588573
88,201,11.936817
76,202,-12.530000
77,202,-16.640000
78,202,-22.692128
79,202,-24.352982
80,202,-27.345310
81,202,-25.980419
82,202,-25.940608
83,202,-20.750854
84,202,-17.941569
85,202,-10.595106
86,202,-6.274561
87,202,3.101538
88,202,9.074900
76,203,-7.270000
77,203,-14.370000
78,203,-19.510000
79,203,-23.143444
80,203,-25.269203
81,203,-25.761309
82,203,-24.786483
83,203,-21.524893
84,203,-17.310819
85,203,-12.162607
86,203,-6.184045
87,203,0.876412
88,203,8.601331
77,204,-9.570000
78,204,-17.620000
79,204,-20.390000
80,204,-24.690148
81,204,-24.346070
82,204,-25.109815
83,204,-20.645927
84,204,-18.341045
85,204,-11.875252
86,204,-7.970115
87,204,0.607308
88,204,6.061097
77,205,-5.600000
78,205,-12.820000
79,205,-18.570000
80,205,-22.287719
81,205,-23.820802
82,205,-23.770162
83,205,-21.065569
84,205,-17.521398
85,205,-12.984519
86,205,-7.709764
87,205,-1.309816
88,205,5.803853
89,205,14.106689
78,206,-9.240000
79,206,-14.190000
80,206,-20.945728
81,206,-22.253293
82,206,-23.785506
83,206,-20.028201
84,206,-18.188668
85,206,-12.439388
86,206,-9.132918
87,206,-1.246859
88,206,3.565613
89,206,13.484754
78,207,-4.140000
79,207,-10.640000
80,207,-16.487446
81,207,-21.034436
82,207,-22.451968
83,207,-20.054554
84,207,-17.145700
85,207,-13.227482
86,207,-8.634742
87,207,-2.849021
88,207,3.513988
89,207,11.146228
78,208,-0.500000
79,208,-5.910000
80,208,-13.265408
81,208,-16.750121
82,208,-21.748519
83,208,-18.870151
84,208,-17.469207
85,208,-12.469901
86,208,-9.655389
87,208,-2.664928
88,208,1.727934
89,208,10.760854
90,208,16.688041
79,209,-2.230000
80,209,-8.610000
81,209,-13.644793
82,209,-17.614574
83,209,-18.258589
84,209,-16.366015
85,209,-12.883773
86,209,-8.941049
87,209,-3.782144
88,209,1.858240
89,209,8.844887
90,209,16.395000
79,210,2.680000
80,210,-5.300000
81,210,-9.246996
82,210,-14.728429
83,210,-14.791905
84,210,-15.953060
85,210,-11.972099
86,210,-9.604764
87,210,-3.343508
88,210,0.442839
89,210,8.764079
90,210,14.059521
80,211,-0.390000
81,211,-6.077999
82,211,-10.493012
83,211,-11.859116
84,211,-12.432492
85,211,-11.647191
86,211,-8.755330
87,211,-4.140314
88,211,0.831870
89,211,7.143485
90,211,13.876396
91,211,22.052226
80,212,3.020000
81,212,-1.551000
82,212,-7.548929
83,212,-8.117943
84,212,-10.369408
85,212,-8.628149
86,212,-8.659219
87,212,-3.515998
88,212,-0.198763
89,212,7.299600
90,212,12.110886
91,212,21.596523
80,213,8.200000
81,213,1.783811
82,213,-3.203598
83,213,-5.231671
84,213,-6.653519
85,213,-6.579522
86,213,-5.695949
87,213,-3.554199
88,213,0.345557
89,213,6.141029
90,213,12.120108
91,213,19.654194
80,214,11.770000
81,214,6.465000
82,214,-0.183019
83,214,-1.200780
84,214,-4.469972
85,214,-3.379151
86,214,-4.319664
87,214,-0.958327
88,214,0.092740
89,214,6.433272
90,214,10.694932
91,214,19.459895
80,215,17.110000
81,215,10.030000
82,215,4.342245
83,215,1.629272
84,215,-0.541771
85,215,-1.256583
86,215,-1.168990
87,215,0.318137
88,215,2.531995
89,215,6.030550
90,215,10.921434
91,215,17.804537
92,215,24.889312
80,216,20.920000
81,216,14.870000
82,216,7.510000
83,216,5.873988
84,216,1.782336
85,216,2.256678
86,216,0.253312
87,216,2.971022
88,216,3.291466
89,216,8.149736
90,216,10.298537
91,216,17.823799
92,216,23.066429
81,217,18.660000
82,217,12.260000
83,217,8.729963
84,217,5.883452
85,217,4.394598
86,217,3.658566
87,217,4.314663
88,217,5.889536
89,217,8.702321
90,217,12.205780
91,217,17.054748
92,217,22.971000
81,218,23.710000
82,218,15.630000
83,218,13.216038
84,218,8.356652
85,218,8.100218
86,218,5.217413
87,218,7.059440
88,218,6.645556
89,218,10.850845
90,218,12.366747
91,218,18.649568
92,218,21.894655
82,219,20.620000
83,219,16.320000
84,219,12.681361
85,219,10.396021
86,219,8.829337
87,219,8.616939
88,219,9.393853
89,219,11.569553
90,219,14.462780
91,219,18.583223
92,219,23.295953
93,219,29.436951
82,220,24.130000
83,220,20.960000
84,220,15.263462
85,220,14.375748
86,220,10.611994
87,220,11.482332
88,220,10.272091
89,220,13.743755
90,220,14.689538
91,220,20.278397
92,220,23.013000
93,220,30.475022
83,221,24.200000
84,221,19.773757
85,221,16.782729
86,221,14.471354
87,221,13.277251
88,221,12.963877
89,221,14.531048
90,221,16.939926
91,221,20.374937
92,221,24.519996
93,221,29.910000
94,221,35.930000
83,222,28.950000
84,222,22.486268
85,222,20.953028
86,222,16.371957
87,222,16.378103
88,222,14.320205
89,222,16.621797
90,222,17.203039
91,222,22.064361
92,222,24.272834
93,222,31.274641
94,222,35.060000
83,223,32.240000
84,223,27.079000
85,223,23.428008
86,223,20.389738
87,223,18.382329
88,223,17.233245
89,223,17.825055
90,223,19.385402
91,223,22.337614
92,223,26.045278
93,223,30.658583
94,223,36.121000
95,223,42.700000
83,224,37.070000
84,224,29.910000
85,224,27.711018
86,224,22.445098
87,224,21.748614
88,224,18.825832
89,224,20.234148
90,224,19.995581
91,224,23.862351
92,224,25.742690
93,224,32.032248
94,224,35.280000
95,224,43.260000
84,225,34.580000
85,225,30.300000
86,225,26.534143
87,225,23.820602
88,225,21.993044
89,225,21.637305
90,225,22.310193
91,225,24.356640
92,225,27.372001
93,225,31.618098
94,225,36.300000
95,225,42.390000
84,226,37.549000
85,226,34.660000
86,226,28.747194
87,226,27.520539
88,226,23.667576
89,226,24.309201
90,226,23.197649
91,226,26.033600
92,226,27.328797
93,226,32.816877
94,226,35.630000
95,226,42.970000
84,227,42.281000
85,227,37.430000
86,227,32.885835
87,227,29.682445
88,227,27.177464
89,227,25.849515
90,227,25.804759
91,227,26.830371
92,227,29.045034
93,227,32.579018
94,227,36.770000
95,227,42.180000
85,228,41.880000
86,228,35.243466
87,228,33.384221
88,228,28.940194
89,228,28.894654
90,228,26.770899
91,228,28.923599
92,228,29.220001
93,228,33.825000
94,228,36.107809
95,228,42.850000
85,229,44.890000
86,229,39.362400
87,229,35.668253
88,229,32.561963
89,229,30.689936
90,229,29.585517
91,229,29.896848
92,229,31.210620
93,229,33.801378
94,229,37.394924
95,229,42.180414
86,230,42.170000
87,230,39.486769
88,230,34.516306
89,230,33.838386
90,230,30.862512
91,230,32.173543
92,230,31.615017
93,230,35.236615
94,230,36.932170
95,230,42.872000
86,231,46.550000
87,231,42.080575
88,231,38.216488
89,231,35.762853
90,231,33.815811
91,231,33.424338
92,231,33.805952
93,231,35.623686
94,231,38.308577
95,231,42.410000
96,231,47.270000
87,232,46.072834
88,232,40.496955
89,232,39.154423
90,232,35.446710
91,232,35.946549
92,232,34.609445
93,232,37.359000
94,232,38.360915
95,232,43.420000
96,232,46.333000
87,233,48.920052
88,233,44.334062
89,233,41.308037
90,233,38.731642
91,233,37.489410
92,233,36.919111
93,233,37.948531
94,233,40.051836
95,233,43.285000
96,233,47.293340
97,233,52.771000
88,234,46.930629
89,234,44.841195
90,234,40.612958
91,234,40.338870
92,234,38.144959
93,234,39.954806
94,234,40.349986
95,234,44.462000
96,234,46.722411
97,234,53.395000
88,235,51.130000
89,235,47.357160
90,235,44.017754
91,235,42.288901
92,235,40.918782
93,235,41.043044
94,235,42.182346
95,235,44.624602
96,235,48.013000
97,235,52.770000
89,236,51.220998
90,236,46.255203
91,236,45.333955
92,236,42.444582
93,236,43.378094
94,236,42.901508
95,236,46.041000
96,236,47.852820
97,236,53.542000
89,237,54.020000
90,237,49.955097
91,237,47.527624
92,237,45.390133
93,237,44.871599
94,237,45.091662
95,237,46.570000
96,237,49.247151
97,237,53.210000
98,237,57.938255
90,238,52.525000
91,238,50.894043
92,238,47.307732
93,238,47.454597
94,238,46.163148
95,238,48.421421
96,238,49.445203
97,238,54.216000
98,238,57.278000
90,239,56.500000
91,239,53.337000
92,239,50.572668
93,239,49.311005
94,239,48.588220
95,239,49.390360
96,239,51.146962
97,239,54.250000
98,239,58.202000
99,239,63.630000
91,240,57.010000
92,240,52.715497
93,240,52.316229
94,240,50.125319
95,240,51.510110
96,240,51.724222
97,240,55.664000
98,240,57.988719
99,240,64.225000
91,241,59.740000
92,241,56.197000
93,241,54.315115
94,241,52.955115
95,241,52.934335
96,241,53.701770
97,241,55.981000
98,241,59.327000
99,241,63.893000
100,241,69.220000
92,242,58.620000
93,242,57.416876
94,242,54.716876
95,242,55.468014
96,242,54.803699
97,242,57.752000
98,242,59.386982
99,242,64.801000
100,242,68.400000
92,243,62.480000
93,243,59.806000
94,243,57.754561
95,243,57.175005
96,243,57.181936
97,243,58.689629
98,243,60.990000
99,243,64.747000
100,243,69.316000
93,244,63.240000
94,244,59.806021
95,244,59.879135
96,244,58.451835
97,244,60.713825
98,244,61.478096
99,244,66.026000
100,244,68.964000
101,244,75.597000
93,245,65.850000
94,245,63.178173
95,245,61.900417
96,245,61.004524
97,245,61.813776
98,245,63.385151
99,245,66.315000
100,245,70.192000
101,245,75.325000
94,246,65.394772
95,246,64.994000
96,246,62.616912
97,246,63.966912
98,246,64.090228
99,246,67.818802
100,246,70.191187
101,246,76.115000
94,247,69.210000
95,247,67.153000
96,247,65.533105
97,247,65.489521
98,247,66.109392
99,247,68.578393
100,247,71.672000
101,247,75.936000
95,248,70.563000
96,248,67.392748
97,248,68.131053
98,248,67.237951
99,248,70.299000
100,248,71.897793
101,248,76.948000
102,248,80.689000
95,249,73.104000
96,249,70.750696
97,249,69.846333
98,249,69.722733
99,249,71.175000
100,249,73.519143
101,249,77.180952
102,249,81.787000
96,250,72.989588
97,250,72.952006
98,250,71.170336
99,250,73.225000
100,250,74.072193
101,250,78.399140
102,250,81.566000
96,251,76.647981
97,251,75.227981
98,251,74.134981
99,251,74.511547
100,251,75.958808
101,251,78.966749
102,251,82.849000
103,251,87.830000
96,252,79.056000
97,252,78.535000
98,252,76.034610
99,252,77.294610
100,252,76.816611
101,252,80.467118
102,252,82.871370
103,252,88.537000
97,253,80.929000
98,253,79.301562
99,253,79.010486
100,253,79.345549
101,253,81.173000
102,253,84.358696
103,253,88.523471
104,253,93.642000
97,254,84.393000
98,254,81.341395
99,254,81.994151
100,254,80.902521
101,254,83.453000
102,254,84.723312
103,254,89.645887
104,254,93.201000
98,255,84.809000
99,255,84.089237
100,255,83.800465
101,255,84.842069
102,255,86.811934
103,255,89.947305
104,255,94.329000
105,255,99.595000
98,256,87.041000
99,256,87.185000
100,256,85.484796
101,256,87.456000
102,256,87.823046
103,256,91.746603
104,256,94.221992
105,256,100.298000
99,257,89.403000
100,257,88.590137
101,257,88.992472
102,257,90.247064
103,257,92.665000
104,257,95.866389
105,257,100.154285
99,258,92.702000
100,258,90.426000
101,258,91.690350
102,258,91.477000
103,258,94.782000
104,258,96.344338
105,258,101.507703
106,258,105.296000
100,259,93.704000
101,259,93.564000
102,259,94.079381
103,259,95.851000
104,259,98.367000
105,259,101.991021
106,259,106.519000
100,260,95.766000
101,260,96.550000
102,260,95.610000
103,260,98.277000
104,260,99.148000
105,260,103.673000
106,260,106.547495
107,260,113.123000
101,261,98.578000
102,261,98.455000
103,261,99.557000
104,261,101.318233
105,261,104.308000
106,261,108.005004
107,261,113.079410
101,262,101.667000
102,262,100.101000
103,262,102.105000
104,262,102.392000
105,262,106.253000
106,262,108.369072
107,262,114.252119
102,263,103.129000
103,263,103.669000
104,263,104.757000
105,263,107.110000
106,263,110.195000
107,263,114.496000
108,263,119.678000
102,264,105.011000
103,264,106.375000
104,264,106.075000
105,264,109.262000
106,264,110.783000
107,264,115.958000
108,264,119.563165
103,265,108.233000
104,265,108.690000
105,265,110.382000
106,265,112.794000
107,265,116.395000
108,265,120.900245
109,265,126.624000
103,266,111.662000
104,266,110.136000
105,266,112.740000
106,266,113.617000
107,266,118.104000
108,266,121.139675
109,266,127.672681
104,267,113.444000
105,267,114.014000
106,267,115.806000
107,267,118.765000
108,267,122.658000
109,267,127.791000
110,267,133.880000
104,268,115.476000
105,268,117.060000
106,268,116.800000
107,268,120.707000
108,268,122.968000
109,268,129.151000
110,268,133.648000
105,269,119.148000
106,269,119.692000
107,269,121.477000
108,269,124.493000
109,269,129.300000
110,269,134.834671
105,270,122.397000
106,270,121.431000
107,270,124.230000
108,270,125.112000
109,270,130.709000
110,270,134.681584
106,271,124.617000
107,271,125.859000
108,271,127.691000
109,271,131.100000
110,271,135.952000
106,272,126.520000
107,272,128.787000
108,272,129.004000
109,272,133.481000
110,272,136.083000
111,272,142.773000
106,273,129.920000
107,273,130.683000
108,273,131.767000
109,273,134.782000
110,273,138.285000
111,273,142.885000
107,274,133.762000
108,274,133.406000
109,274,137.249000
110,274,139.197000
111,274,144.612000
107,275,135.780000
108,275,136.492000
109,275,138.767000
110,275,141.666000
111,275,145.395000
107,276,138.950000
108,276,138.185000
109,276,141.312000
110,276,142.539000
111,276,147.386000
112,276,150.360000
107,277,141.100000
108,277,141.375000
109,277,143.008000
110,277,145.092000
111,277,148.407000
112,277,152.332000
107,278,144.370000
108,278,143.220000
109,278,145.767000
110,278,146.251000
111,278,150.521000
112,278,152.842000
113,278,159.030000
108,279,146.500000
109,279,147.585000
110,279,149.024000
111,279,151.721000
112,279,155.021000
113,279,159.460000
108,280,148.420000
109,280,150.510000
110,280,150.320000
111,280,153.886000
112,280,155.654000
113,280,161.240000
109,281,152.400000
110,281,153.273000
111,281,155.333000
112,281,157.947000
113,281,161.810000
109,282,155.455000
110,282,154.790000
111,282,157.742000
112,282,158.826000
113,282,163.729000
110,283,157.830000
111,283,159.380000
112,283,161.337000
113,283,164.563000
110,284,159.460000
111,284,161.970000
112,284,162.415000
113,284,166.591000
114,284,168.779000
111,285,163.730000
112,285,165.086000
113,285,167.768000
114,285,170.932000
111,286,166.510000
112,286,166.450000
113,286,169.957000
114,286,171.606000
112,287,169.370000
113,287,171.455000
114,287,173.929000
115,287,177.748000
112,288,170.930000
113,288,173.970000
114,288,174.917000
115,288,179.666000
113,289,175.550000
114,289,177.465000
115,289,180.683000
116,289,184.457000
113,290,178.315000
114,290,178.731000
115,290,182.792000
116,290,185.028000
114,291,181.500000
115,291,184.180000
116,291,187.244000
117,291,191.653000
115,292,186.600000
116,292,188.133000
117,292,193.621000
116,293,190.568000
117,293,194.428000
118,293,198.802000
117,294,196.397000
118,294,199.320000
118,295,201.369000
